Time,j10,j11,j12,j13,j14,j15,vel_j1,vel_j2,vel_j3,vel_j4,vel_j5,vel_j6,vel_pct_j1,vel_pct_j2,vel_pct_j3,vel_pct_j4,vel_pct_j5,vel_pct_j6,TCP_X,TCP_Y,TCP_Z
5.966646717,-111.3321619,71.30822961,-35.27836845,-76.25930604,71.72489706,52.56541621,-0.409966128,2.757415419,-0.863913781,-12.75537684,4.504805633,-0.921614419,6,6,6,6,6,6,-210.8156874,-336.9706885,29.30167698
5.976930192,-111.335805,71.33273296,-35.28604548,-76.3726547,71.76492831,52.55722643,-0.305173855,2.052586872,-0.643087028,-9.494949097,3.353323129,-0.686038688,4,4,4,4,4,4,-210.7738021,-336.650716,29.25774054
5.987213668,-111.3384384,71.35044507,-35.29159479,-76.4545882,71.79386469,52.55130649,-0.214128207,1.440217568,-0.451228276,-6.662223502,2.352891831,-0.481365727,3,3,3,3,3,3,-210.7433022,-336.4194498,29.22616984
5.997497144,-111.340209,71.36235384,-35.29532587,-76.50967633,71.81332012,52.5473262,-0.137913521,0.927600701,-0.290622524,-4.290937236,1.515426669,-0.310033147,2,2,2,2,2,2,-210.7226902,-336.2639693,29.20503215
6.007780619,-111.3412749,71.36952299,-35.297572,-76.54283969,71.8250324,52.54493005,-0.07763817,0.522191154,-0.16360543,-2.415575436,0.853106731,-0.174532605,1,1,1,1,1,1,-210.7102408,-336.1703738,29.19234162
6.4,-111.342,71.3744,-35.2991,-76.5654,71.833,52.5433,-0.004596378394713801,-0.019983384643603105,-0.02310290494405398,0.009071070985287664,0.00498757998493879,-0.02356273502032124,0,0,0,0,0,0,-210.7017541898609,-336.10670477395377,29.18372334482479
6.410214406879455,-111.3420469492791,71.37419588157842,-35.2993359824712,-76.56530734439012,71.83305094517131,52.54305932063731,-0.01810921648623577,-0.07873229912678732,-0.09102286000250442,0.035739004529815245,0.01965050697309794,-0.09283453904198277,0,0,0,0,0,0,-210.70180210258084,-336.1059690784035,29.185280668966726
6.42042881375891,-111.34236994981092,71.37279159252432,-35.3009594890548,-76.56466989453253,71.83340143654722,52.54140350049152,-0.05789545588609852,-0.2517084245195358,-0.29100154498777075,0.11425817134638518,0.06282298632225898,-0.29679351196706233,0,0,0,0,0,0,-210.70213164424362,-336.1009075325097,29.195994662103217
6.430643220638365,-111.34322968476488,71.36905377705236,-35.30528079883731,-76.56297318548725,71.83433434425866,52.536996181256484,-0.12239739483513311,-0.5321394390631461,-0.615209440095862,0.24155440694783625,0.1328147389798884,-0.6274542986670295,1,1,1,1,1,1,-210.70300804838874,-336.0874340811135,29.224511833004204
6.44085762751782,-111.34487038339458,71.36192061502993,-35.31352748812924,-76.55973522454035,71.83611468411428,52.52858535348182,-0.21002093984510456,-0.9130948029620722,-1.055634108747632,0.41448172682947165,0.22789599683414058,-1.0766449865438845,2,2,2,2,2,2,-210.70467756664658,-336.06171735584536,29.278931691285056
6.451072034397275,-111.34752016343045,71.35040033337842,-35.32684615144247,-76.55450581548338,71.83898998913439,52.515001601341915,-0.3192055179801278,-1.3877897116261388,-1.6044315996647451,0.6299603001626644,0.34637336528582574,-1.6363655017567378,3,3,3,3,3,3,-210.70736560035428,-336.02017212629744,29.366816871350164
6.46128644127673,-111.35139137347221,71.33356971747459,-35.3463041224677,-76.54686588289282,71.84319068108475,52.49515634740493,-0.44842407685736335,-1.9495850956691503,-2.253926446869677,0.8849764497976395,0.4865898232560617,-2.2987876092221566,5,5,5,5,5,5,-210.71127428441153,-335.9594499698384,29.495202949085964
6.471500848156185,-111.35668093538158,71.31057262255185,-35.37289119505185,-76.53642679640944,71.84893044201067,52.468040097401826,-0.5961830846539735,-2.5919876209102815,-2.9966116696857132,1.1765826522613874,0.6469247231848829,-3.0562549126172973,6,6,6,6,6,6,-210.7165796977654,-335.8764294161308,29.670608045227528
6.48171525503564,-111.36357068667482,71.28061848510161,-35.407521344175485,-76.5228296950178,71.85640658577073,52.43272068499532,-0.7610225301001662,-3.3086496883712964,-3.825148772737993,1.5018975377597505,0.8257937910263706,-3.901282854377469,8,8,8,8,8,8,-210.72342885533212,-335.7682057962532,29.899042297375903
6.491929661915095,-111.37222772291533,71.24298083427463,-35.45103444693024,-76.50574481132558,71.86580042957081,52.38834151654892,-0.9415159224798902,-4.0933694342800235,-4.732367745950729,1.8581058901746415,1.0216491262542184,-4.826558715694395,10,10,10,10,10,10,-210.73193661769562,-335.6320810014419,30.186017271512615
6.50214406879455,-111.38280474010621,71.19699580328229,-35.504198003496185,-76.4848707958431,71.87727766549793,52.33411981589595,-1.1362702916336187,-4.9400907300675785,-5.711267064550681,2.242458647064738,1.2329792018589494,-5.824941616519692,12,12,12,12,12,12,-210.74218263761847,-335.4655533327186,30.536555373645022
6.512358475674005,-111.39544037708289,71.14206064079796,-35.56770885811934,-76.45993404126264,71.8909887320542,52.269344869108515,-1.3439261879569564,-5.842903182370444,-6.755013689064725,2.6522728996703515,1.4583088643472204,-6.8894625155638245,15,15,15,15,15,15,-210.75420844627607,-335.266307599991,30.955199312997348
