Time,X1,Y1,Z1,Rx1,Ry1,Rz1,j10,j11,j12,j13,j14,j15
13.0,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.1,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.2,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.3,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.4,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.5,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.6,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.7,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.8,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
13.9,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
14.0,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
14.1,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
14.2,1097.03138974,424.02241579,1674.77454667,-7.03932137406e-06,0.000171588069003,-131.824992555,-29.6846066064,-38.924100606,6.50903708998,5.64030207699e-05,-96.5095620991,-102.140581786
